corename,latitude,longitude,wdepth,sdepth,mgca,clean,size_lower,size_upper,omega,pH,t_annual,s_annual,t_seasonal,s_seasonal,grid_lat,grid_lon,include,species,reference1,reference2,reference_link1,reference_link2,omega_inv_sq,clean_method
KNR110-86BC,4.45,-43.48333333,3320,0.5,4.455,1,,,1.258993745,8.043026924,27.58201027,35.76501083,27.58203284,35.76501751,4.5,-43.5,1,ruber_p,Russell1994,,http://dx.doi.org/10.1016/0016-7037(94)90497-9,,0.630888855,reductive
KNR110-88BC,4.633333333,-43.65,2952,0.5,3.355,1,,,1.389515162,8.043026924,27.58201027,35.76501083,27.58203284,35.76501751,4.5,-43.5,1,ruber_p,Russell1994,,http://dx.doi.org/10.1016/0016-7037(94)90497-9,,0.517932806,reductive
KNR110-90BC,4.716666667,-43.41666667,3654,0.5,3.88,1,,,1.244368553,8.043026924,27.58201027,35.76501083,27.58203284,35.76501751,4.5,-43.5,1,ruber_p,Russell1994,,http://dx.doi.org/10.1016/0016-7037(94)90497-9,,0.645805806,reductive
KNR110-91GGC,4.76,-43.307,3810,,3.97,1,250,355,1.100396514,8.043026924,27.58201027,35.76501083,27.58203284,35.76501751,4.5,-43.5,1,ruber_w,Dai2019,,https://doi.org/10.1029/2019GC008526,,0.825850789,reductive
KNR110-91GGC,4.76,-43.307,3810,0.5,3.74,1,250,350,1.100396514,8.043026924,27.58201027,35.76501083,27.58203284,35.76501751,4.5,-43.5,1,ruber_w,Dekens2002,,http://dx.doi.org/10.1029/2001GC000200,,0.825850789,reductive
KNR110-91GGC,4.76,-43.307,3810,0.5,3.36,1,250,350,1.100396514,8.043026924,27.58201027,35.76501083,27.58203284,35.76501751,4.5,-43.5,1,sacculifer,Dekens2002,,http://dx.doi.org/10.1029/2001GC000200,,0.825850789,reductive
KNR110-92BC,4.766666667,-43.28333333,3882,0.5,4.125,1,,,1.100396514,8.043026924,27.58201027,35.76501083,27.58203284,35.76501751,4.5,-43.5,1,ruber_p,Russell1994,,http://dx.doi.org/10.1016/0016-7037(94)90497-9,,0.825850789,reductive
KNR110-94BC,4.883333333,-43.08333333,4107,0.5,3.75,1,,,1.101809978,8.043026924,27.58201027,35.76501083,27.58203284,35.76501751,4.5,-43.5,1,ruber_p,Russell1994,,http://dx.doi.org/10.1016/0016-7037(94)90497-9,,0.823733252,reductive
KNR110-96BC,4.866666667,-42.98333333,4427,0.5,3.165,1,,,0.880514145,8.050719261,27.58730888,35.76129913,27.58730793,35.76129691,4.5,-42.5,1,ruber_p,Russell1994,,http://dx.doi.org/10.1016/0016-7037(94)90497-9,,1.289814711,reductive
KNR158-4 MC36a,52.4318,-22.0955,4056,0.75,1.09,1,255,355,1.11824894,8.136591911,12.03010941,35.28050995,12.03011664,35.28051949,52.5,-22.5,1,incompta,Morley2017,,https://doi.org/10.1002/2017GC007111,,0.799692476,reductive
